playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Per Elisa,1p5RfaVSHJhd3SCzBEikDp,Alice,Alice Canta Battiato,https://i.scdn.co/image/73a79ed1c2f296e55666185114be463f5ece1d47
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Storie di tutti i giorni,4431Ew1ndtl1qTWdBNFjtU,Riccardo Fogli,Il Mondo Di...,https://i.scdn.co/image/71def1ff67d9935ec63b5b19c1a6ca8e2a8b40d5
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Sarà quel che sarà,1MNWaUhByjbfwhhWa9NSSC,Tiziana Rivale,Il meglio,
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Ci sarà,4DeKhA9cE6MuPxCOrkTgs2,Al Bano And Romina Power,Love Songs,https://i.scdn.co/image/86596fb806ab4f1164acf4cabbb9ab9c1d20b737
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Se m'innamoro,6Pm5m45fMlLOJ8pKBHKzSc,Ricchi E Poveri,Greatest Hits,https://i.scdn.co/image/f7ab9fe39aeea6e92992814e7550a85ff3276561
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Adesso tu,07CPBe6hvgHgn749mxR0EJ,Eros Ramazzotti,Nuovi Eroi,https://i.scdn.co/image/d8b18b5f929bbb00b4dd7a33397f3a9380e21022
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Si può dare di più,7HAuQMhvEKtZCGBKZiyj66,Morandi,Collection: Tutto Hits Anni '80,https://i.scdn.co/image/e45204f28dba8ace84e8c6bc3b98a2e3aba2b36f
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Perdere L'amore,2xgQvq4WuBX9DLmPkeBQ3M,Massimo Ranieri,I Successi Di Massimo Ranieri,https://i.scdn.co/image/ece19eb4349dc27ae1450b8d9c8f98e74d2c258f
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Ti lascerò,1KzEz2YM5TVHG2oL2GIG6E,Anna Oxa,Best of Anna Oxa,https://i.scdn.co/image/e29685b37b69abbfc1331c4660b77da92623e130
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Uomini soli,6XpjIhIhIA5AGTyk06FNKU,Pooh,Uomini soli,https://i.scdn.co/image/3e7ed4b55cf03345c7a5eb9c6bf92716ea68d262
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Se stiamo insieme,3V2TMVsl5LlDvEVff9hw31,Riccardo Cocciante,Tutti I Miei Sogni,https://i.scdn.co/image/90aa1b776e1860efab724ce57affa91cac1d0632
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Portami a ballare,5DvPcu353BOXWUiG7yIIDq,Luca Barbarossa,Cuore D'Acciaio,https://i.scdn.co/image/37d00280f7a8ad4e694db2f91f7568be47e47867
